Title,Author,Rating,ISBN,Genre,Publisher,PublishDate
Charlotte's Web,"E.B. White, Garth Williams (Illustrator), Rosemary Wells (Illustrations)",4.17,9780064410939,"['Classics', 'Childrens', 'Fiction', 'Young Adult', 'Fantasy', 'Animals', 'Middle Grade', 'Juvenile', 'School', 'Chapter Books']",HarperCollinsPublishers,10/01/01
Of Mice and Men,John Steinbeck,3.88,9780142000670,"['Classics', 'Fiction', 'School', 'Historical Fiction', 'Literature', 'Read For School', 'Novels', 'High School', 'American', 'Classic Literature']",Penguin Books,01/08/02
The Time Traveler's Wife,Audrey Niffenegger (Goodreads Author),3.97,9781939126016,"['Fiction', 'Romance', 'Fantasy', 'Time Travel', 'Science Fiction', 'Contemporary', 'Adult', 'Chick Lit', 'Adult Fiction', 'Magical Realism']",Zola Books,09/23/13
Dracula,"Bram Stoker, Nina Auerbach (Editor), David J. Skal (Editor)",4,9780393970128,"['Classics', 'Horror', 'Fiction', 'Fantasy', 'Vampires', 'Gothic', 'Paranormal', 'Literature', 'Audiobook', 'Supernatural']",Norton,05/12/86
Brave New World,Aldous Huxley,3.99,9780060929879,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'School', 'Fantasy', 'Philosophy', 'Science Fiction Fantasy']",HarperPerennial / Perennial Classics,09/01/98
One Hundred Years of Solitude,"Gabriel GarcÃ­a MÃ¡rquez, Gregory Rabassa (Translator)",4.08,9999999999999,"['Fiction', 'Classics', 'Magical Realism', 'Literature', 'Novels', 'Fantasy', 'Historical Fiction', 'Spanish Literature', 'Literary Fiction', 'Latin American']",Harper,06/24/03
The Catcher in the Rye,J.D. Salinger,3.81,9780316769174,"['Classics', 'Fiction', 'Young Adult', 'Literature', 'School', 'Novels', 'Coming Of Age', 'American', 'High School', 'Read For School']",Back Bay Books,01/30/01
The Princess Bride,William Goldman,4.26,9780345418265,"['Fantasy', 'Fiction', 'Classics', 'Romance', 'Humor', 'Young Adult', 'Adventure', 'Science Fiction Fantasy', 'Comedy', 'Fairy Tales']",Ballantine Books,07/15/03
The Lightning Thief,Rick Riordan (Goodreads Author),4.26,9780786838653,"['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Childrens', 'Urban Fantasy', 'Greek Mythology', 'Magic']",Disney Hyperion Books,03/01/06
The Secret Garden,Frances Hodgson Burnett,4.13,9780517189603,"['Classics', 'Fiction', 'Childrens', 'Young Adult', 'Historical Fiction', 'Middle Grade', 'Literature', 'Fantasy', 'Historical', 'Audiobook']",Children's Classics,09/01/98
A Thousand Splendid Suns,Khaled Hosseini (Goodreads Author),4.38,9781594489501,"['Fiction', 'Historical Fiction', 'Contemporary', 'Novels', 'Historical', 'War', 'Adult Fiction', 'Adult', 'Drama', 'Literature']",Riverhead Books,06/01/07
A Wrinkle in Time,Madeleine L'Engle,4,9781250153272,"['Fantasy', 'Fiction', 'Classics', 'Young Adult', 'Science Fiction', 'Childrens', 'Middle Grade', 'Time Travel', 'Adventure', 'Science Fiction Fantasy']",Square Fish,11/07/17
A Game of Thrones,George R.R. Martin,4.45,9780553588484,"['Fantasy', 'Fiction', 'Epic Fantasy', 'Adult', 'Science Fiction Fantasy', 'High Fantasy', 'Adventure', 'Dragons', 'Audiobook', 'Epic']",Bantam,08/28/05
The Adventures of Huckleberry Finn,"Mark Twain, Guy Cardwell (Notes), John Seelye (Introduction), Walter Trier (Ilustrator)",3.82,9780142437179,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Young Adult', 'Adventure', 'School', 'Novels', 'Read For School', 'American']",Penguin Classics,12/31/02
The Lovely Bones,Alice Sebold,3.82,9780316166683,"['Fiction', 'Mystery', 'Young Adult', 'Contemporary', 'Fantasy', 'Crime', 'Adult', 'Adult Fiction', 'Drama', 'Novels']","Little, Brown and Company",09/01/06
The Outsiders,S.E. Hinton (Goodreads Author),4.1,9999999999999,"['Classics', 'Young Adult', 'Fiction', 'School', 'Realistic Fiction', 'Read For School', 'Coming Of Age', 'Historical Fiction', 'Contemporary', 'Teen']",Puffin Books (US/CAN),09/01/97
Where the Wild Things Are,Maurice Sendak,4.22,9780099408390,"['Childrens', 'Picture Books', 'Fiction', 'Classics', 'Fantasy', 'Adventure', 'Young Adult', 'Animals', 'Kids', 'Monsters']",Red Fox,10/28/00
Green Eggs and Ham,Dr. Seuss,4.3,9780394800165,"['Childrens', 'Picture Books', 'Classics', 'Fiction', 'Poetry', 'Fantasy', 'Humor', 'Kids', 'Food', 'Young Adult']",Random House Books for Young Readers,10/28/88
The Odyssey,"Homer, Robert Fagles (Translator), Bernard Knox (Introduction)",3.77,9780143039952,"['Classics', 'Fiction', 'Poetry', 'Mythology', 'Fantasy', 'School', 'Literature', 'Adventure', 'Read For School', 'Historical Fiction']",Penguin Classics,11/30/06
Life of Pi,Yann Martel,3.91,9780770430078,"['Fiction', 'Fantasy', 'Classics', 'Adventure', 'Contemporary', 'Novels', 'Literature', 'Magical Realism', 'India', 'Philosophy']",Seal Books,08/29/06
A Tale of Two Cities,"Charles Dickens, Richard Maxwell (Editor/Introduction)",3.85,9780141439600,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Historical', 'Novels', 'School', 'Classic Literature', '19th Century', 'British Literature']",Penguin Books,10/28/03
Water for Elephants,Sara Gruen (Goodreads Author),4.09,9781565125605,"['Fiction', 'Historical Fiction', 'Romance', 'Historical', 'Adult', 'Adult Fiction', 'Contemporary', 'Book Club', 'Novels', 'Animals']",Algonquin Books,05/01/07
Lolita,"Vladimir Nabokov, Craig Raine (Afterword)",3.89,B00IIAQY3Q,"['Classics', 'Fiction', 'Literature', 'Novels', 'Russia', 'Romance', 'Russian Literature', 'Literary Fiction', '20th Century', 'Adult']",Penguin,10/28/95
Slaughterhouse-Five,Kurt Vonnegut Jr.,4.08,9780385333849,"['Classics', 'Fiction', 'Science Fiction', 'War', 'Historical Fiction', 'Literature', 'Novels', 'Time Travel', 'American', 'Fantasy']",Dial Press,01/12/99
Frankenstein: The 1818 Text,"Mary Wollstonecraft Shelley, Charlotte Gordon (Goodreads Author) (Introduction)",3.81,9780143131847,"['Classics', 'Fiction', 'Horror', 'Science Fiction', 'Gothic', 'Fantasy', 'School', 'Literature', 'Novels', '19th Century']",Penguin Classics,03/08/18
The Kite Runner,"Khaled Hosseini (Goodreads Author), Berliani M. Nugrahani (Translator)",4.3,9999999999999,"['Fiction', 'Historical Fiction', 'Contemporary', 'Classics', 'Novels', 'Historical', 'Literature', 'Adult', 'Adult Fiction', 'Drama']",Riverhead Books,05/28/04
The Handmaid's Tale,Margaret Atwood (Goodreads Author),4.11,9999999999999,"['Fiction', 'Classics', 'Dystopia', 'Science Fiction', 'Feminism', 'Fantasy', 'Adult', 'Audiobook', 'Literature', 'Novels']",Anchor Books,04/28/98
The Giver,Lois Lowry (Goodreads Author),4.13,9780385732550,"['Young Adult', 'Fiction', 'Classics', 'Dystopia', 'Science Fiction', 'Fantasy', 'School', 'Childrens', 'Middle Grade', 'Read For School']",Ember,01/24/06
Catch-22,Joseph Heller,3.98,9780684833392,"['Classics', 'Fiction', 'War', 'Historical Fiction', 'Humor', 'Literature', 'Novels', 'Unfinished', 'American', 'Historical']",Simon & Schuster,09/04/04
Dune,Frank Herbert,4.23,9780593099322,"['Science Fiction', 'Fiction', 'Fantasy', 'Classics', 'Science Fiction Fantasy', 'Space Opera', 'Audiobook', 'Novels', 'Adventure', 'Adult']",Ace Books,10/01/19
The Pillars of the Earth,Ken Follett (Goodreads Author),4.31,9999999999999,"['Historical Fiction', 'Fiction', 'Historical', 'Fantasy', 'Classics', 'Medieval', 'Audiobook', 'British Literature', 'Novels', 'Adult']",NAL Trade,02/04/02
The Stand,"Stephen King (Goodreads Author), Bernie Wrightson (Illustrator)",4.34,9780385199575,"['Horror', 'Fiction', 'Fantasy', 'Science Fiction', 'Post Apocalyptic', 'Thriller', 'Dystopia', 'Apocalyptic', 'Audiobook', 'Classics']",Doubleday Books,05/01/90
The Adventures of Sherlock Holmes,Arthur Conan Doyle,4.3,9999999999999,"['Classics', 'Mystery', 'Fiction', 'Short Stories', 'Crime', 'Detective', 'Literature', 'Mystery Thriller', 'Adventure', 'Audiobook']",Oxford University Press,10/22/98
Watership Down,Richard Adams,4.06,9780380395866,"['Classics', 'Fiction', 'Fantasy', 'Young Adult', 'Animals', 'Childrens', 'Adventure', 'Literature', 'Novels', 'Audiobook']",Avon Books,06/28/75
Great Expectations,"Charles Dickens, Î Î±Ï…Î»Î¯Î½Î± Î Î±Î¼Ï€Î¿ÏÎ´Î· (Translator), Marisa Sestino (Translator)",3.78,9780192833594,"['Classics', 'Fiction', 'Literature', 'Historical Fiction', 'School', 'Novels', '19th Century', 'Classic Literature', 'British Literature', 'Victorian']",Oxford University Press,10/28/98
Little Women,Louisa May Alcott,4.09,9780451529305,"['Classics', 'Fiction', 'Historical Fiction', 'Young Adult', 'Romance', 'Historical', 'Literature', 'Childrens', 'Classic Literature', 'Novels']",Signet Classics,04/06/04
The Bell Jar,Sylvia Plath,4.01,9999999999999,"['Classics', 'Fiction', 'Feminism', 'Mental Health', 'Psychology', 'Mental Illness', 'Literature', 'Novels', 'Poetry', 'Adult']",Harper Perennial Modern Classics,10/28/06
Harry Potter and the Deathly Hallows,J.K. Rowling,4.62,9780545010221,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Adventure', 'Audiobook', 'Middle Grade', 'Classics', 'Science Fiction Fantasy']",Arthur A. Levine Books / Scholastic Inc.,07/21/07
One Flew Over the Cuckoo's Nest,Ken Kesey,4.19,9999999999999,"['Classics', 'Fiction', 'Literature', 'Psychology', 'Novels', 'School', 'Mental Health', 'American', 'Mental Illness', 'Contemporary']",Signet,02/01/63
Anna Karenina,"Leo Tolstoy, Aylmer Maude (Translator), Lev Tolstoi, Louise Maude (Translator), George Gibian (Preface)",4.05,9999999999999,"['Classics', 'Fiction', 'Romance', 'Russia', 'Historical Fiction', 'Literature', 'Russian Literature', 'Novels', '19th Century', 'Classic Literature']",Vintage,10/16/12
Outlander,Diana Gabaldon (Goodreads Author),4.23,9780440242949,"['Historical Fiction', 'Romance', 'Fantasy', 'Fiction', 'Time Travel', 'Historical', 'Historical Romance', 'Adult', 'Audiobook', 'Scotland']",Dell Publishing Company,07/26/05
My Sister's Keeper,Jodi Picoult (Goodreads Author),4.08,9780743454537,"['Fiction', 'Contemporary', 'Chick Lit', 'Young Adult', 'Drama', 'Adult', 'Adult Fiction', 'Realistic Fiction', 'Family', 'Novels']",Washington Square Press,02/01/05
Matilda,"Roald Dahl, Quentin Blake (Illustrator)",4.32,9780141301068,"['Childrens', 'Fiction', 'Classics', 'Fantasy', 'Young Adult', 'Middle Grade', 'Humor', 'Audiobook', 'Magic', 'Juvenile']",Puffin Books,06/01/98
The Fellowship of the Ring,J.R.R. Tolkien,4.36,9780345015339,"['Classics', 'Adventure', 'Science Fiction Fantasy', 'High Fantasy', 'Epic Fantasy', 'Young Adult', 'Novels', 'Magic', 'Literature', 'Audiobook']",Ballantine Books,03/28/73
The Girl with the Dragon Tattoo,"Stieg Larsson, Reg Keeland (Translator)",4.14,9999999999999,"['Fiction', 'Mystery', 'Suspense', 'Contemporary', 'Adult', 'Adult Fiction', 'Sweden', 'Thriller', 'Audiobook', 'Crime']",Knopf,09/16/08
Rebecca,Daphne du Maurier,4.23,9780316323703,"['Classics', 'Fiction', 'Mystery', 'Romance', 'Gothic', 'Historical Fiction', 'Thriller', 'Suspense', 'Mystery Thriller', 'Adult']","Little, Brown and Company",12/17/13
1984,George Orwell,4.19,B003JTHWKU,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'Politics', 'School', 'Fantasy', 'Adult']",Houghton Mifflin Harcourt,09/03/13
The Color Purple,Alice Walker,4.22,9780143135692,"['Classics', 'Fiction', 'Historical Fiction', 'Feminism', 'Historical', 'LGBT', 'African American', 'Literature', 'Novels', 'Adult']",Penguin Books,12/10/19
A Tree Grows in Brooklyn,Betty Smith,4.27,9780061120077,"['Classics', 'Fiction', 'Historical Fiction', 'Young Adult', 'Coming Of Age', 'Historical', 'Literature', 'New York', 'Novels', 'Book Club']",HarperCollins Publishers,05/30/06
A Clockwork Orange,Anthony Burgess,3.99,9780393341768,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'Horror', 'Thriller', 'Crime', 'Modern Classics']",W. W. Norton & Company,05/21/19
The Road,Cormac McCarthy,3.97,9780307265432,"['Fiction', 'Science Fiction', 'Dystopia', 'Post Apocalyptic', 'Classics', 'Horror', 'Literature', 'Novels', 'Apocalyptic', 'Contemporary']",Alfred A. Knopf,10/02/06
The Brothers Karamazov,"Fyodor Dostoyevsky, Fyodor Dostoyevsky, Richard Pevear (Translator), Larissa Volokhonsky (Translator)",4.32,9780374528379,"['Classics', 'Fiction', 'Russia', 'Literature', 'Russian Literature', 'Philosophy', 'Novels', '19th Century', 'Classic Literature', 'Religion']","Farrar, Straus and Giroux",06/14/02
Angela's Ashes,Frank McCourt,4.11,9780007205233,"['Nonfiction', 'Memoir', 'Biography', 'Classics', 'Ireland', 'Autobiography', 'Biography Memoir', 'History', 'Irish Literature', 'Historical']",Harper Perennial,10/03/05
Vampire Academy,Richelle Mead (Goodreads Author),4.12,9781595141743,"['Young Adult', 'Fantasy', 'Vampires', 'Paranormal', 'Romance', 'Urban Fantasy', 'Fiction', 'Supernatural', 'Paranormal Romance', 'Magic']",Razorbill,08/16/07
Siddhartha,"Hermann Hesse, Hilda Rosner (Translator)",4.03,9999999999999,"['Classics', 'Fiction', 'Philosophy', 'Religion', 'Spirituality', 'Literature', 'Buddhism', 'German Literature', 'Novels', 'Historical Fiction']",Bantam Books,12/01/81
The Poisonwood Bible,Barbara Kingsolver,4.06,9780060786502,"['Fiction', 'Historical Fiction', 'Africa', 'Classics', 'Historical', 'Literary Fiction', 'Literature', 'Novels', 'Religion', 'Adult Fiction']",Harper Perennial Modern Classics,07/05/05
The Golden Compass,Philip Pullman,3.99,9780679879244,"['Fantasy', 'Young Adult', 'Fiction', 'Childrens', 'Adventure', 'Science Fiction', 'Science Fiction Fantasy', 'Steampunk', 'Middle Grade', 'Audiobook']",Alfred A. Knopf Books for Young Readers,04/16/96
Don Quixote,"Miguel de Cervantes Saavedra, John Rutherford (Translator), Roberto GonzÃ¡lez EchevarrÃ­a (Introduction)",3.88,9780142437230,"['Classics', 'Fiction', 'Literature', 'Spanish Literature', 'Adventure', 'Novels', 'Historical Fiction', 'Spain', 'Humor', 'Classic Literature']",Penguin Books,02/25/03
Atlas Shrugged,"Ayn Rand, Leonard Peikoff (Goodreads Author) (Introduction)",3.69,9780452011878,"['Classics', 'Philosophy', 'Literature', 'Politics', 'Science Fiction', 'Dystopia', 'Economics', 'Novels', 'Audiobook', 'Fiction']",Plume,08/01/99
Harry Potter and the Prisoner of Azkaban,"J.K. Rowling, Mary GrandPrÃ© (Illustrator)",4.57,9780439655484,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Adventure', 'Middle Grade', 'Audiobook', 'Classics', 'Science Fiction Fantasy']",Scholastic Inc.,05/01/04
The Old Man and the Sea,Ernest Hemingway,3.78,9780684830490,"['Classics', 'Fiction', 'Literature', 'Novels', 'American', 'School', 'Adventure', 'Classic Literature', 'Literary Fiction', '20th Century']",Scribner,10/28/96
The Notebook,Nicholas Sparks (Goodreads Author),4.11,B000Q67J66,"['Romance', 'Fiction', 'Chick Lit', 'Contemporary', 'Adult', 'Adult Fiction', 'Contemporary Romance', 'Love', 'Drama', 'Classics']",Grand Central Publishing,01/05/00
Winnie-the-Pooh,"A.A. Milne, Ernest H. Shepard (Illustrator)",4.34,9780525467564,"['Classics', 'Childrens', 'Fiction', 'Fantasy', 'Animals', 'Picture Books', 'Young Adult', 'Audiobook', 'Middle Grade', 'Juvenile']",Dutton Juvenile,10/01/01
The Complete Stories and Poems,Edgar Allan Poe,4.38,9780385074070,"['Classics', 'Poetry', 'Horror', 'Fiction', 'Short Stories', 'Mystery', 'Gothic', 'Literature', 'Fantasy', 'Classic Literature']","Doubleday & Company, Inc.",08/15/84
Interview with the Vampire,Anne Rice,4,9780345476876,"['Horror', 'Fantasy', 'Fiction', 'Vampires', 'Paranormal', 'Supernatural', 'Classics', 'Gothic', 'Urban Fantasy', 'Historical Fiction']",Ballantine Books,08/31/04
A Prayer for Owen Meany,John Irving (Goodreads Author),4.23,9780552135399,"['Fiction', 'Classics', 'Contemporary', 'Literature', 'Literary Fiction', 'Novels', 'Historical Fiction', 'Adult Fiction', 'Coming Of Age', 'American']",Black Swan,10/28/90
"Moby-Dick or, the Whale","Herman Melville, Andrew Delbanco (Introduction), Tom Quirk (Notes), Rockwell Kent (Illustrator)",3.51,9780142437247,"['Classics', 'Fiction', 'Literature', 'Adventure', 'Novels', 'Historical Fiction', 'American', 'Classic Literature', '19th Century', 'Unfinished']",Penguin Classics,02/21/03
The Red Tent,Anita Diamant (Goodreads Author),4.18,9780312353766,"['Historical Fiction', 'Fiction', 'Historical', 'Religion', 'Book Club', 'Feminism', 'Adult', 'Adult Fiction', 'Womens', 'Novels']",St. Martin's Press,10/28/97
The Secret Life of Bees,Sue Monk Kidd (Goodreads Author),4.06,9780142001745,"['Fiction', 'Historical Fiction', 'Young Adult', 'Classics', 'Adult Fiction', 'Historical', 'Contemporary', 'Adult', 'Coming Of Age', 'Chick Lit']",Penguin Books,01/28/03
Harry Potter and the Goblet of Fire,"J.K. Rowling, Mary GrandPrÃ© (Illustrator)",4.56,9999999999999,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Adventure', 'Audiobook', 'Middle Grade', 'Classics', 'Science Fiction Fantasy']",Scholastic,09/28/02
Clockwork Angel,"Cassandra Clare (Goodreads Author), Rita Sussekind (Translator)",4.32,9781416975861,"['Fantasy', 'Young Adult', 'Paranormal', 'Romance', 'Steampunk', 'Historical Fiction', 'Fiction', 'Urban Fantasy', 'Vampires', 'Angels']","Simon & Schuster, Margaret K. McElderry",08/31/10
Harry Potter and the Half-Blood Prince,J.K. Rowling,4.57,9999999999999,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Adventure', 'Audiobook', 'Middle Grade', 'Classics', 'Science Fiction Fantasy']",Scholastic Inc.,09/16/06
And Then There Were None,Agatha Christie,4.26,9780312330873,"['Mystery', 'Classics', 'Fiction', 'Crime', 'Thriller', 'Mystery Thriller', 'Audiobook', 'Adult', 'Suspense', 'Novels']",St. Martin's Press,05/03/04
